RecordType,SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,SchoolCode,SchoolName,ModelMatchStatus,CurrentCalculatorSuppliedFundingAmount,CurrentDocumentedCrosswalkFundingAmount,CurrentAnalyticalAssumptionFundingAmount,CurrentModelFundingAmount,CurrentComponentsMissingInput,CurrentRowsMissingInput,CurrentComponentsMissingRate,CurrentRowsMissingRate,ProposedCalculationUnitCount,ProposedPrincipalPositions,OperationalEnrollmentBasis,CharterBuildingPolicy,ProposedBaseFundingAmount,ProposedCentralOfficeFundingAmount,ProposedPositionBasedFundingAmount,ProposedOpportunityFundingAmount,ProposedOperationalFundingAmount,ProposedWeightedFundingAmount,ProposedModelFundingAmount,ProposedComponentsMissingInput,ProposedRowsMissingInput,ProposedComponentsMissingRate,ProposedRowsMissingRate,PositionBasedComparisonBasis,PositionBasedFundingDifference,PreliminaryPositionBasedPercentDifference,PositionBasedPercentDifference,FullModelComparisonBasis,FullModelFundingDifference,PreliminaryFullModelPercentDifference,FullModelPercentDifference,CurrentModelComplete,ProposedModelComplete,ComparisonComplete,ComparisonStatus,ComparisonInterpretation
LEA,2026,2025-09-30,92,Gateway Charter School,Charter,TRUE,,LEA Total,Matched,2342754.34,317708.47,266407.4,2926870.21,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2925906.35,668909.88,3594816.23,336643.79,546315.85,882959.65,4477775.87,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,667946.02,22.82117,,Current modeled funding versus all proposed funding,1550905.67,52.988536,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,9611,Great Oaks Charter School,Charter,TRUE,,LEA Total,Matched,1723313.78,295033.38,79797.84,2098145,3,,2,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1961675.93,660456.4,2622132.34,302227.25,449132.01,751359.26,3373491.6,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,523987.34,24.973838,,Current modeled funding versus all proposed funding,1275346.6,60.784484,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,36,Indian River School District,District,TRUE,,LEA Total,Matched,94192467.7,14400944.62,10024463.45,118617875.78,2,,0,,15,15,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,117188081.3,3070792.04,120258873.34,14681365.87,22372058.24,37053424.12,157312297.45,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,1640997.56,1.383432,,Current modeled funding versus all proposed funding,38694421.67,32.621071,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,82,Kuumba Academy Charter School,Charter,TRUE,,LEA Total,Matched,4262945.6,415038.94,527574.45,5205558.98,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,5326448.17,693497.08,6019945.24,1147003.74,1295773.72,2442777.46,8462722.71,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,814386.26,15.64455,,Current modeled funding versus all proposed funding,3257163.72,62.570873,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,15,Lake Forest School District,District,TRUE,,LEA Total,Matched,31751848.24,3987307.6,3434913.97,39174069.81,3,,0,,7,7,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,39529819.06,1681472.97,41211292.03,4335346.57,7160276.65,11495623.21,52706915.24,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,2037222.22,5.200435,,Current modeled funding versus all proposed funding,13532845.43,34.545416,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,16,Laurel School District,District,TRUE,,LEA Total,Matched,20188362.3,2518861.72,2254292.71,24961516.73,3,,0,,4,4,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,25254336.19,1048537.68,26302873.87,4574579.91,5716167.99,10290747.89,36593621.76,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,1341357.14,5.3737,,Current modeled funding versus all proposed funding,11632105.03,46.600153,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,88,MOT Charter School,Charter,TRUE,,LEA Total,Matched,9637851.29,1122730.9,1061312.14,11821894.33,3,,2,,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,12181395.37,760902.36,12942297.74,405872.76,1550586.79,1956459.55,14898757.29,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,1120403.41,9.477359,,Current modeled funding versus all proposed funding,3076862.96,26.026818,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,18,Milford School District,District,TRUE,,LEA Total,Matched,35342010.45,4127832.64,3876122.92,43345966.01,3,,0,,7,7,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,43882383.53,1727939.42,45610322.95,7015754.62,9304901.9,16320656.53,61930979.48,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,2264356.94,5.223916,,Current modeled funding versus all proposed funding,18585013.47,42.875993,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,38,New Castle County Vocational-Technical School District,District,TRUE,,LEA Total,Matched,41225495.08,4637743.41,2889019.27,48752257.75,3,,0,,5,5,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,51823631.77,1964155.16,53787786.93,5084741.48,10939576.04,16024317.52,69812104.45,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,5035529.18,10.328812,,Current modeled funding versus all proposed funding,21059846.7,43.197685,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,89,Newark Charter School,Charter,TRUE,,LEA Total,Matched,22033617.88,2671211.32,2639599.89,27344429.09,3,,2,,4,4,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,27818164.3,1079548.27,28897712.58,1153535.71,3636082.81,4789618.52,33687331.1,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,1553283.48,5.680439,,Current modeled funding versus all proposed funding,6342902,23.196323,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
