AggregationLevel,RecordType,SchoolYear,CountDate,DistrictCode,DistrictName,SchoolCode,SchoolName,IsSchool,SourceExcelRow,SourceRowCount,SelectionRule,EnrollmentPreK,EnrollmentK3,Enrollment4_12,EnrollmentBasicK12,EnrollmentIntense,EnrollmentComplex,RegularEdEnrollment,SpecialEdEnrollment,BaseUnitEnrollmentTotal,Enrollment,LI,MLL,K8Enrollment,Grade10Enrollment,UnitsPreK,UnitsK3,Units4_12,UnitsBasicK12,UnitsIntense,UnitsComplex,UnitsVocational,UnitsVocationalDeduct,UnitsTotal,LEAType,CalculatorLEAName,CalculatorLEAKey,IncludeInStatewide,LEASchoolCalculationUnitCount,SchoolCalculationUnitCount,OperationalEnrollmentBasis,CharterBuildingPolicy
District,LEA total,2026,2025-09-30,9611,Great Oaks Charter School,,LEA Total,FALSE,168,,,0,0,80,23,29,9,80,61,141,141,87,5,0,39,0,0,4,2.74,4.83,3.46,0,0,15.03,Charter,Great_Oaks_Charter_School,great oaks charter school,TRUE,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,36,Indian River School District,,LEA Total,FALSE,184,,,111,2725,5905,757,622,500,8630,1990,10620,10620,2523,2689,7349,788,13.21,168.21,295.25,90.12,103.67,192.31,47.95,-23.98,886.74,District,IR,ir,TRUE,15,15,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,82,Kuumba Academy Charter School,,LEA Total,FALSE,186,,,0,228,237,55,30,6,465,91,556,556,342,2,556,0,0,14.07,11.85,6.55,5,2.31,0,0,39.78,Charter,Kuumba_Academy_Charter_School,kuumba academy charter school,TRUE,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,15,Lake Forest School District,,LEA Total,FALSE,194,,,41,1033,1970,476,127,117,3003,761,3764,3764,1190,155,2674,279,4.88,63.77,98.5,56.67,21.17,45,16.39,-8.2,298.18,District,Lake,lake,TRUE,7,7,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,16,Laurel School District,,LEA Total,FALSE,199,,,25,718,1347,279,63,67,2065,434,2499,2499,965,581,1768,199,2.98,44.32,67.35,33.21,10.5,25.77,12.04,-6.02,190.15,District,Laurel,laurel,TRUE,4,4,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,88,MOT Charter School,,LEA Total,FALSE,209,,,0,273,986,85,36,10,1259,131,1390,1390,86,51,689,184,0,16.85,49.3,10.12,6,3.85,12.42,-6.21,92.33,Charter,MOT_Charter_School,mot charter school,TRUE,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,18,Milford School District,,LEA Total,FALSE,207,,,34,1286,2478,441,200,75,3764,750,4514,4514,1347,1082,3211,286,4.05,79.38,123.9,52.5,33.33,28.85,19.27,-9.64,331.64,District,Milford,milford,TRUE,7,7,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,38,New Castle County Vocational-Technical School District,,LEA Total,FALSE,221,,,0,0,4307,457,134,40,4307,631,4938,4938,1218,437,0,1227,0,0,215.35,54.4,22.33,15.38,167.1,-83.55,391.01,District,NCCVT,nccvt,TRUE,5,5,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,89,Newark Charter School,,LEA Total,FALSE,223,,,0,875,1951,225,59,46,2826,330,3156,3156,298,68,2208,241,0,54.01,97.55,26.79,9.83,17.69,8.09,-4.05,209.91,Charter,Newark_Charter_School,newark charter school,TRUE,4,4,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,86,Odyssey Charter School,,LEA Total,FALSE,225,,,0,750,1319,260,56,17,2069,333,2402,2402,501,332,1937,104,0,46.3,65.95,30.95,9.33,6.54,6.24,-3.12,162.19,Charter,Odyssey_Charter_School,odyssey charter school,TRUE,4,4,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,39,Polytech School District,,LEA Total,FALSE,227,,,0,0,1084,144,18,6,1084,168,1252,1252,201,24,0,330,0,0,54.2,17.14,3,2.31,41.73,-20.87,97.51,District,POLYTECH,polytech,TRUE,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,71,Positive Outcomes Charter School,,LEA Total,FALSE,229,,,0,0,50,27,17,23,50,67,117,117,60,0,32,26,0,0,2.5,3.21,2.83,8.85,0.64,-0.32,17.71,Charter,Positive_Outcomes_Charter_School,positive outcomes charter school,TRUE,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,87,Providence Creek Academy Charter School,,LEA Total,FALSE,231,,,0,361,313,91,14,7,674,112,786,786,125,14,786,0,0,22.28,15.65,10.83,2.33,2.69,0.34,-0.17,53.95,Charter,Providence_Creek_Academy_Charter_School,providence creek academy charter school,TRUE,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,32,Red Clay Consolidated School District,,LEA Total,FALSE,259,,,128,3745,7434,1626,633,769,11179,3156,14335,14335,4131,2294,10524,851,15.24,231.17,371.7,193.57,105.5,295.77,51.02,-25.51,1238.46,District,Red_Clay,red clay,TRUE,27,27,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,23,Seaford School District,,LEA Total,FALSE,268,,,38,1050,1992,289,132,130,3042,589,3631,3631,1349,1110,2609,243,4.52,64.81,99.6,34.4,22,50,13.93,-6.97,282.29,District,Seaford,seaford,TRUE,8,8,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,24,Smyrna School District,,LEA Total,FALSE,277,,,27,1343,3303,482,317,249,4646,1075,5721,5721,1213,225,3855,432,3.21,82.9,165.15,57.38,52.83,95.77,37.65,-18.83,476.06,District,Smyrna,smyrna,TRUE,8,8,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,77,Sussex Academy,,LEA Total,FALSE,279,,,0,174,913,93,10,0,1087,103,1190,1190,81,46,666,141,0,10.74,45.65,11.07,1.67,0,3.05,-1.53,70.65,Charter,Sussex_Academy_Charter_School,sussex academy charter school,TRUE,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,9614,Sussex Montessori School,,LEA Total,FALSE,281,,,0,227,124,11,17,13,351,41,392,392,133,25,392,0,0,14.01,6.2,1.31,2.83,5,0,0,29.35,Charter,Sussex_Montessori_School_Charter_School,sussex montessori school charter school,TRUE,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,40,Sussex Technical School District,,LEA Total,FALSE,283,,,0,0,1170,115,51,13,1170,179,1349,1349,282,139,0,341,0,0,58.5,13.69,8.5,5,44.97,-22.49,108.17,District,Sussex_Tech,sussex tech,TRUE,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,35,Woodbridge School District,,LEA Total,FALSE,288,,,2,652,1393,197,276,83,2045,558,2603,2603,862,483,1852,198,0.24,40.25,69.65,23.45,46,31.92,12.37,-6.19,217.69,District,Woodbridge,woodbridge,TRUE,4,4,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
