CheckLevel,Difference,Tolerance,Status,DistrictName,Variable,ReportedValue,RolledValue
School to LEA,0,0,Pass,Brandywine School District,MLL,655,655
School to LEA,0,0,Pass,Brandywine School District,RegularEdEnrollment,7892,7892
School to LEA,0,0,Pass,Brandywine School District,SpecialEdEnrollment,2178,2178
School to LEA,0,0.05,Pass,Brandywine School District,Units4_12,269.6,269.6
School to LEA,-0.01,0.05,Pass,Brandywine School District,UnitsBasicK12,113.45,113.44
School to LEA,0.01,0.05,Pass,Brandywine School District,UnitsComplex,221.15,221.16
School to LEA,-0.01,0.05,Pass,Brandywine School District,UnitsIntense,90.5,90.49
School to LEA,0.01,0.05,Pass,Brandywine School District,UnitsK3,154.32,154.33
School to LEA,0,0.05,Pass,Brandywine School District,UnitsPreK,12.74,12.74
School to LEA,0.01,0.05,Pass,Brandywine School District,UnitsTotal,885.3,885.31
School to LEA,0.01,0.05,Pass,Brandywine School District,UnitsVocational,47.09,47.1
School to LEA,0,0.05,Pass,Brandywine School District,UnitsVocationalDeduct,-23.55,-23.55
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,BaseUnitEnrollmentTotal,123,123
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,Enrollment,123,123
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,Enrollment4_12,84,84
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,EnrollmentBasicK12,22,22
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,EnrollmentComplex,4,4
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,EnrollmentIntense,13,13
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,EnrollmentK3,0,0
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,Grade10Enrollment,0,0
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,K8Enrollment,104,104
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,LI,40,40
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,MLL,3,3
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,RegularEdEnrollment,84,84
School to LEA,0,0,Pass,Bryan Allen Stevenson School of Excellence,SpecialEdEnrollment,39,39
School to LEA,0,0.05,Pass,Bryan Allen Stevenson School of Excellence,Units4_12,4.2,4.2
School to LEA,0,0.05,Pass,Bryan Allen Stevenson School of Excellence,UnitsBasicK12,2.62,2.62
School to LEA,0,0.05,Pass,Bryan Allen Stevenson School of Excellence,UnitsComplex,1.54,1.54
School to LEA,0,0.05,Pass,Bryan Allen Stevenson School of Excellence,UnitsIntense,2.17,2.17
School to LEA,0,0.05,Pass,Bryan Allen Stevenson School of Excellence,UnitsK3,0,0
School to LEA,0,0.05,Pass,Bryan Allen Stevenson School of Excellence,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Bryan Allen Stevenson School of Excellence,UnitsTotal,10.53,10.53
School to LEA,0,0.05,Pass,Bryan Allen Stevenson School of Excellence,UnitsVocational,0,0
School to LEA,0,0.05,Pass,Bryan Allen Stevenson School of Excellence,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,Caesar Rodney School District,BaseUnitEnrollmentTotal,7868,7868
School to LEA,0,0,Pass,Caesar Rodney School District,Enrollment,7868,7868
School to LEA,0,0,Pass,Caesar Rodney School District,Enrollment4_12,4568,4568
School to LEA,0,0,Pass,Caesar Rodney School District,EnrollmentBasicK12,719,719
School to LEA,0,0,Pass,Caesar Rodney School District,EnrollmentComplex,388,388
School to LEA,0,0,Pass,Caesar Rodney School District,EnrollmentIntense,316,316
School to LEA,0,0,Pass,Caesar Rodney School District,EnrollmentK3,1846,1846
School to LEA,0,0,Pass,Caesar Rodney School District,EnrollmentPreK,31,31
School to LEA,0,0,Pass,Caesar Rodney School District,Grade10Enrollment,569,569
School to LEA,0,0,Pass,Caesar Rodney School District,K8Enrollment,5396,5396
School to LEA,0,0,Pass,Caesar Rodney School District,LI,1952,1952
School to LEA,0,0,Pass,Caesar Rodney School District,MLL,547,547
School to LEA,0,0,Pass,Caesar Rodney School District,RegularEdEnrollment,6414,6414
School to LEA,0,0,Pass,Caesar Rodney School District,SpecialEdEnrollment,1454,1454
School to LEA,-0,0.05,Pass,Caesar Rodney School District,Units4_12,228.4,228.4
School to LEA,0.01,0.05,Pass,Caesar Rodney School District,UnitsBasicK12,85.6,85.61
School to LEA,-0.01,0.05,Pass,Caesar Rodney School District,UnitsComplex,149.23,149.22
School to LEA,0.01,0.05,Pass,Caesar Rodney School District,UnitsIntense,52.67,52.68
School to LEA,-0.01,0.05,Pass,Caesar Rodney School District,UnitsK3,113.95,113.94
School to LEA,0,0.05,Pass,Caesar Rodney School District,UnitsPreK,3.69,3.69
School to LEA,-0.01,0.05,Pass,Caesar Rodney School District,UnitsTotal,649.24,649.23
School to LEA,0.01,0.05,Pass,Caesar Rodney School District,UnitsVocational,31.4,31.41
School to LEA,-0.02,0.05,Pass,Caesar Rodney School District,UnitsVocationalDeduct,-15.7,-15.72
School to LEA,0,0,Pass,Campus Community School,BaseUnitEnrollmentTotal,402,402
School to LEA,0,0,Pass,Campus Community School,Enrollment,402,402
School to LEA,0,0,Pass,Campus Community School,Enrollment4_12,195,195
School to LEA,0,0,Pass,Campus Community School,EnrollmentBasicK12,39,39
School to LEA,0,0,Pass,Campus Community School,EnrollmentComplex,7,7
School to LEA,0,0,Pass,Campus Community School,EnrollmentIntense,8,8
School to LEA,0,0,Pass,Campus Community School,EnrollmentK3,153,153
School to LEA,0,0,Pass,Campus Community School,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Campus Community School,Grade10Enrollment,0,0
School to LEA,0,0,Pass,Campus Community School,K8Enrollment,402,402
School to LEA,0,0,Pass,Campus Community School,LI,170,170
School to LEA,0,0,Pass,Campus Community School,MLL,5,5
School to LEA,0,0,Pass,Campus Community School,RegularEdEnrollment,348,348
School to LEA,0,0,Pass,Campus Community School,SpecialEdEnrollment,54,54
School to LEA,0,0.05,Pass,Campus Community School,Units4_12,9.75,9.75
School to LEA,0,0.05,Pass,Campus Community School,UnitsBasicK12,4.64,4.64
School to LEA,0,0.05,Pass,Campus Community School,UnitsComplex,2.69,2.69
School to LEA,0,0.05,Pass,Campus Community School,UnitsIntense,1.33,1.33
School to LEA,0,0.05,Pass,Campus Community School,UnitsK3,9.44,9.44
School to LEA,0,0.05,Pass,Campus Community School,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Campus Community School,UnitsTotal,28,28
School to LEA,0,0.05,Pass,Campus Community School,UnitsVocational,0.31,0.31
School to LEA,0,0.05,Pass,Campus Community School,UnitsVocationalDeduct,-0.16,-0.16
School to LEA,0,0,Pass,Cape Henlopen School District,BaseUnitEnrollmentTotal,6731,6731
School to LEA,0,0,Pass,Cape Henlopen School District,Enrollment,6731,6731
School to LEA,0,0,Pass,Cape Henlopen School District,Enrollment4_12,3781,3781
School to LEA,0,0,Pass,Cape Henlopen School District,EnrollmentBasicK12,573,573
School to LEA,0,0,Pass,Cape Henlopen School District,EnrollmentComplex,436,436
School to LEA,0,0,Pass,Cape Henlopen School District,EnrollmentIntense,189,189
School to LEA,0,0,Pass,Cape Henlopen School District,EnrollmentK3,1677,1677
School to LEA,0,0,Pass,Cape Henlopen School District,EnrollmentPreK,75,75
School to LEA,0,0,Pass,Cape Henlopen School District,Grade10Enrollment,509,509
School to LEA,0,0,Pass,Cape Henlopen School District,K8Enrollment,4560,4560
School to LEA,0,0,Pass,Cape Henlopen School District,LI,1128,1128
School to LEA,0,0,Pass,Cape Henlopen School District,MLL,607,607
School to LEA,0,0,Pass,Cape Henlopen School District,RegularEdEnrollment,5458,5458
School to LEA,0,0,Pass,Cape Henlopen School District,SpecialEdEnrollment,1273,1273
School to LEA,0,0.05,Pass,Cape Henlopen School District,Units4_12,189.05,189.05
