SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,CalculatedPositions,CalculatorSuppliedFundingAmount,DocumentedCrosswalkFundingAmount,AnalyticalAssumptionFundingAmount,TotalModeledFundingAmount,ComponentsMissingInput,ComponentsMissingRate,InputComplete,ProvisionalQuantityRows,QuantityCalculationComplete,FundingRateComplete,OverallComplete
2026,2025-09-30,16,Laurel School District,District,TRUE,257.60502844041923,20188362.303003334,2518861.7152123204,2254292.7101428574,24961516.728358515,3,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,88,MOT Charter School,Charter,TRUE,132.2647336648439,9637851.287274,1122730.9037525917,1061312.1374571428,11821894.328483734,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,18,Milford School District,District,TRUE,445.7794471553886,35342010.45292533,4127832.6389978076,3876122.918228572,43345966.0101517,3,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,38,New Castle County Vocational-Technical School District,District,TRUE,504.0411259649122,41225495.07724466,4637743.405289474,2889019.2662,48752257.74873413,3,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,89,Newark Charter School,Charter,TRUE,303.63359010822506,22033617.882997997,2671211.3227992426,2639599.8870571433,27344429.09285438,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,86,Odyssey Charter School,Charter,TRUE,233.2536072829802,16961737.698382,1814999.7693997212,2183720.0792285716,20960457.547010288,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,39,Polytech School District,District,TRUE,127.11252129984052,10556312.308944669,1095732.5043861642,703657.2962,12355702.10953083,3,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,71,Positive Outcomes Charter School,Charter,TRUE,26.87330719640009,1982637.6871713332,416320.9807936602,97532.11734285715,2496490.785307851,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,87,Providence Creek Academy Charter School,Charter,TRUE,78.90925183982684,5727225.974643334,553749.7247537879,801114.8975714286,7082090.59696855,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,32,Red Clay Consolidated School District,District,TRUE,1700.7757921417174,130864685.05352135,19856385.686663087,14111569.108057141,164832639.84824154,2,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,23,Seaford School District,District,TRUE,384.78356996240603,30221839.198162004,3966893.7981732455,3246839.3812285713,37435572.37756382,3,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,24,Smyrna School District,District,TRUE,654.1338957359309,50753156.38613466,7369894.16319318,5378082.618628571,63501133.16795642,3,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,77,Sussex Academy,Charter,TRUE,101.90141712804737,7399276.443236667,732289.7383283492,892933.9372857143,9024500.118850728,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,9614,Sussex Montessori School,Charter,TRUE,43.64605291068581,3202476.71143,383881.488960327,363940.43700000003,3950298.6373903267,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,40,Sussex Technical School District,District,TRUE,141.2912516507177,11590973.460959334,1325743.9520747608,781774.3454,13698491.758434093,3,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,35,Woodbridge School District,District,TRUE,301.5565224914559,23293884.160282,3446552.4035564195,2530782.824942857,29271219.388781276,3,0,FALSE,0,FALSE,TRUE,FALSE
