DistrictCode,DistrictName,ParentSchoolCode,ParentSchoolName,CalculatorLEAName,CalculatorRow,CalculationUnitSequence,SchoolCalculationUnitCount,CalculationUnitName,InputCategory,CalculatorValue,CalculatorBuildingTotal,CalculatorOrganizationTotal,SharedLEATotal,BuildingVsSharedDifference,OrganizationVsSharedDifference,AllocationShare,AllocationMethod,AllocationRule,ProportionalAdjustedValue,IntegerAdjustedValue,Remainder,RemainderRank,StudentsRemaining,StudentsAddedByLargestRemainder,FinalAdjustedValue
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,6,2,2,Academy of Dover Main,EnrollmentComplex,5,11,11,11,0,0,0.45454545454545453,Calculator category share,Largest remainder; ties by CalculationUnitSequence,5,5,0,2,0,0,5
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,6,2,2,Academy of Dover Main,EnrollmentIntense,16,27,27,27,0,0,0.5925925925925926,Calculator category share,Largest remainder; ties by CalculationUnitSequence,16,16,0,2,0,0,16
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,6,2,2,Academy of Dover Main,EnrollmentK3,49,185,185,185,0,0,0.2648648648648649,Calculator category share,Largest remainder; ties by CalculationUnitSequence,49,49,0,2,0,0,49
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,6,2,2,Academy of Dover Main,UnitsVocational,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,6,2,2,Academy of Dover Main,UnitsVocationalDeduct,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
9615,Bryan Allen Stevenson School of Excellence,4110,Bryan Allen Stevenson School of Excellence,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,47,1,1,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,BasicPreK12Enrollment,22,22,22,22,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,22,22,0,1,0,0,22
9615,Bryan Allen Stevenson School of Excellence,4110,Bryan Allen Stevenson School of Excellence,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,47,1,1,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,Enrollment4_12,84,84,84,84,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,84,84,0,1,0,0,84
9615,Bryan Allen Stevenson School of Excellence,4110,Bryan Allen Stevenson School of Excellence,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,47,1,1,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,EnrollmentComplex,4,4,4,4,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,4,4,0,1,0,0,4
9615,Bryan Allen Stevenson School of Excellence,4110,Bryan Allen Stevenson School of Excellence,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,47,1,1,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,EnrollmentIntense,13,13,13,13,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,13,13,0,1,0,0,13
9615,Bryan Allen Stevenson School of Excellence,4110,Bryan Allen Stevenson School of Excellence,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,47,1,1,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,EnrollmentK3,0,0,0,0,0,0,0,Shared total is zero,Largest remainder; ties by CalculationUnitSequence,0,0,0,1,0,0,0
9615,Bryan Allen Stevenson School of Excellence,4110,Bryan Allen Stevenson School of Excellence,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,47,1,1,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,UnitsVocational,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
9615,Bryan Allen Stevenson School of Excellence,4110,Bryan Allen Stevenson School of Excellence,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,47,1,1,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,UnitsVocationalDeduct,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,48,1,2,Campus Community Primary,BasicPreK12Enrollment,20,39,39,39,0,0,0.5128205128205128,Calculator category share,Largest remainder; ties by CalculationUnitSequence,20,20,0,1,0,0,20
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,48,1,2,Campus Community Primary,Enrollment4_12,80,195,195,195,0,0,0.41025641025641024,Calculator category share,Largest remainder; ties by CalculationUnitSequence,80,80,0,1,0,0,80
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,48,1,2,Campus Community Primary,EnrollmentComplex,6,7,7,7,0,0,0.8571428571428571,Calculator category share,Largest remainder; ties by CalculationUnitSequence,6,6,0,1,0,0,6
