SchoolYear,DistrictCode,DistrictName,SchoolCode,SchoolName,CustodianPositions,SatelliteCafeteriaCount,HasSchoolLunchProgram,Notes
2026,71,Positive Outcomes Charter School,570.0,Positive Outcomes Charter School,,,,
2026,87,Providence Creek Academy Charter School,586.0,Providence Creek Academy Charter School,,,,
2026,32,Red Clay Consolidated School District,252.0,Baltz (Austin D.) Elementary School,,,,
2026,32,Red Clay Consolidated School District,261.0,Brandywine Springs School,,,,
2026,32,Red Clay Consolidated School District,286.0,Calloway (Cab) School of the Arts,,,,
2026,32,Red Clay Consolidated School District,284.0,Conrad Schools of Science,,,,
2026,32,Red Clay Consolidated School District,290.0,Dickinson (John) School,,,,
2026,32,Red Clay Consolidated School District,530.0,First State School,,,,
2026,32,Red Clay Consolidated School District,240.0,Forest Oak Elementary School,,,,
2026,32,Red Clay Consolidated School District,242.0,Heritage Elementary School,,,,
2026,32,Red Clay Consolidated School District,244.0,Johnson (Joseph E. Jr) Elementary School,,,,
2026,32,Red Clay Consolidated School District,246.0,Lewis (William C.) Dual Language Elementary School,,,,
2026,32,Red Clay Consolidated School District,250.0,Linden Hill Elementary School,,,,
2026,32,Red Clay Consolidated School District,256.0,Marbrook Elementary School,,,,
2026,32,Red Clay Consolidated School District,294.0,McKean (Thomas) High School,,,,
2026,32,Red Clay Consolidated School District,516.0,Meadowood Program,,,,
2026,32,Red Clay Consolidated School District,264.0,Mote (Anna P.) Elementary School,,,,
2026,32,Red Clay Consolidated School District,270.0,North Star Elementary School,,,,
2026,32,Red Clay Consolidated School District,529.0,Red Clay Early Years Program,,,,
2026,32,Red Clay Consolidated School District,254.0,Richardson Park Elementary School,,,,
2026,32,Red Clay Consolidated School District,260.0,Richey Elementary School,,,,
2026,32,Red Clay Consolidated School District,248.0,Shortlidge (Evan G.) Academy,,,,
2026,32,Red Clay Consolidated School District,280.0,Skyline Middle School,,,,
2026,32,Red Clay Consolidated School District,282.0,Stanton Middle School,,,,
2026,32,Red Clay Consolidated School District,266.0,Warner Elementary School,,,,
2026,32,Red Clay Consolidated School District,271.0,William F. Cooke Jr. Elementary,,,,
2026,32,Red Clay Consolidated School District,292.0,duPont (Alexis I.) High School,,,,
2026,32,Red Clay Consolidated School District,274.0,duPont (Alexis I.) Middle School,,,,
2026,32,Red Clay Consolidated School District,276.0,duPont (H.B.) Middle School,,,,
2026,23,Seaford School District,761.0,Blades Elementary School,,,,
2026,23,Seaford School District,762.0,Frederick Douglass Elementary School,,,,
2026,23,Seaford School District,763.0,Seaford Autistic Program,,,,
2026,23,Seaford School District,759.0,Seaford Central Elementary School,,,,
2026,23,Seaford School District,764.0,Seaford Middle School,,,,
2026,23,Seaford School District,766.0,Seaford Senior High School,,,,
2026,23,Seaford School District,768.0,Sussex Orthopedic Program,,,,
2026,23,Seaford School District,760.0,West Seaford Elementary School,,,,
2026,24,Smyrna School District,680.0,Clayton Elementary School,,,,
2026,24,Smyrna School District,696.0,Clayton Middle School,,,,
2026,24,Smyrna School District,686.0,Moore (John Bassett) School,,,,
2026,24,Smyrna School District,684.0,North Smyrna Elementary School,,,,
2026,24,Smyrna School District,682.0,Smyrna Elementary School,,,,
2026,24,Smyrna School District,688.0,Smyrna High School,,,,
2026,24,Smyrna School District,685.0,Smyrna Middle School,,,,
2026,24,Smyrna School District,681.0,Sunnyside Elementary School,,,,
2026,77,Sussex Academy,576.0,Sussex Academy,,,,
2026,9614,Sussex Montessori School,4090.0,Sussex Montessori School,,,,
2026,40,Sussex Technical School District,770.0,Sussex Technical High School,,,,
2026,35,Woodbridge School District,779.0,Phillis Wheatley Elementary School,,,,
2026,35,Woodbridge School District,776.0,Woodbridge Early Childhood Education Center,,,,
2026,35,Woodbridge School District,780.0,Woodbridge High School,,,,
2026,35,Woodbridge School District,775.0,Woodbridge Middle School,,,,
